2023-05-04 13:13:42,369 - root - INFO - Epoch 30; loss: 15.612863540649414; CER: 0.9675214290618896; WER: 1.0; val_loss: 15.394424438476562; val_CER: 0.9653846025466919; val_WER: 1.0
2023-05-04 13:13:50,202 - root - INFO - Epoch 31; loss: 15.395858764648438; CER: 0.9540598392486572; WER: 1.0; val_loss: 15.56523609161377; val_CER: 0.9769231081008911; val_WER: 1.0
2023-05-04 13:13:58,122 - root - INFO - Epoch 32; loss: 15.233870506286621; CER: 0.9369657635688782; WER: 1.0; val_loss: 15.726302146911621; val_CER: 0.9596154093742371; val_WER: 1.0
2023-05-04 13:14:05,928 - root - INFO - Epoch 33; loss: 15.00866985321045; CER: 0.9160255193710327; WER: 1.0; val_loss: 15.630782127380371; val_CER: 0.9596154093742371; val_WER: 1.0
2023-05-04 13:14:13,856 - root - INFO - Epoch 34; loss: 14.706856727600098; CER: 0.9025640487670898; WER: 1.0; val_loss: 16.221906661987305; val_CER: 0.9576923847198486; val_WER: 1.0
2023-05-04 13:14:21,700 - root - INFO - Epoch 35; loss: 14.56700325012207; CER: 0.9021368026733398; WER: 1.0; val_loss: 15.724681854248047; val_CER: 0.9519230723381042; val_WER: 1.0
2023-05-04 13:14:29,565 - root - INFO - Epoch 36; loss: 14.336675643920898; CER: 0.877136766910553; WER: 1.0; val_loss: 15.65485668182373; val_CER: 0.9480769634246826; val_WER: 1.0
2023-05-04 13:14:37,368 - root - INFO - Epoch 37; loss: 14.022485733032227; CER: 0.867307722568512; WER: 1.0; val_loss: 16.026716232299805; val_CER: 0.9500000476837158; val_WER: 1.0
2023-05-04 13:14:45,274 - root - INFO - Epoch 38; loss: 13.801201820373535; CER: 0.8476495742797852; WER: 1.0; val_loss: 16.020355224609375; val_CER: 0.9596154093742371; val_WER: 1.0
2023-05-04 13:14:53,304 - root - INFO - Epoch 39; loss: 13.512786865234375; CER: 0.8311966061592102; WER: 1.0; val_loss: 14.923863410949707; val_CER: 0.9153845906257629; val_WER: 1.0
2023-05-04 13:15:01,291 - root - INFO - Epoch 40; loss: 13.275858879089355; CER: 0.8228632211685181; WER: 1.0; val_loss: 15.689574241638184; val_CER: 0.8903846740722656; val_WER: 1.0
2023-05-04 13:15:09,387 - root - INFO - Epoch 41; loss: 13.031868934631348; CER: 0.8040597438812256; WER: 1.0; val_loss: 14.971657752990723; val_CER: 0.8499999642372131; val_WER: 1.0
2023-05-04 13:15:17,450 - root - INFO - Epoch 42; loss: 12.711891174316406; CER: 0.7886752486228943; WER: 1.0; val_loss: 16.295665740966797; val_CER: 0.8865384459495544; val_WER: 1.0
2023-05-04 13:15:25,553 - root - INFO - Epoch 43; loss: 12.394264221191406; CER: 0.7641026377677917; WER: 1.0; val_loss: 15.602682113647461; val_CER: 0.8519231081008911; val_WER: 1.0
2023-05-04 13:15:33,704 - root - INFO - Epoch 44; loss: 12.025405883789062; CER: 0.7510683536529541; WER: 1.0; val_loss: 16.505794525146484; val_CER: 0.8846153616905212; val_WER: 1.0
2023-05-04 13:15:41,845 - root - INFO - Epoch 45; loss: 11.858726501464844; CER: 0.7324786186218262; WER: 0.9989316463470459; val_loss: 13.769309997558594; val_CER: 0.7942307591438293; val_WER: 1.0
2023-05-04 13:15:49,766 - root - INFO - Epoch 46; loss: 11.515902519226074; CER: 0.725854754447937; WER: 0.997863233089447; val_loss: 13.528755187988281; val_CER: 0.807692289352417; val_WER: 1.0
2023-05-04 13:15:57,788 - root - INFO - Epoch 47; loss: 11.400256156921387; CER: 0.7098290920257568; WER: 0.997863233089447; val_loss: 14.055472373962402; val_CER: 0.7999999523162842; val_WER: 1.0
2023-05-04 13:16:05,988 - root - INFO - Epoch 48; loss: 11.134200096130371; CER: 0.7027778029441833; WER: 0.997863233089447; val_loss: 13.466201782226562; val_CER: 0.7961539030075073; val_WER: 1.0
2023-05-04 13:16:14,112 - root - INFO - Epoch 49; loss: 10.915473937988281; CER: 0.6769230365753174; WER: 0.9935897588729858; val_loss: 17.570884704589844; val_CER: 0.8730769753456116; val_WER: 1.0
2023-05-04 13:16:22,158 - root - INFO - Epoch 50; loss: 10.811635971069336; CER: 0.6653847098350525; WER: 0.9893162250518799; val_loss: 14.682523727416992; val_CER: 0.817307710647583; val_WER: 1.0
2023-05-04 13:16:30,233 - root - INFO - Epoch 51; loss: 10.512151718139648; CER: 0.6653846502304077; WER: 0.995726466178894; val_loss: 11.434627532958984; val_CER: 0.7173077464103699; val_WER: 1.0
2023-05-04 13:16:38,282 - root - INFO - Epoch 52; loss: 10.284324645996094; CER: 0.6273504495620728; WER: 0.9871794581413269; val_loss: 14.367165565490723; val_CER: 0.8250000476837158; val_WER: 1.0
2023-05-04 13:16:46,160 - root - INFO - Epoch 53; loss: 9.77026653289795; CER: 0.6134615540504456; WER: 0.9818376302719116; val_loss: 10.625763893127441; val_CER: 0.6576923131942749; val_WER: 0.9903846383094788
